Ay,Ax,B,ux,uy,phi,t
0.0,-10.0,-3.0,0.0,-4.6333159741449135e-17,-8.5600651100149e-17,1.4134550000017043
0.0,-10.0,-2.0,0.0,-4.7342485589431296e-17,-9.118980150526964e-17,1.421438199991826
0.0,-10.0,-1.0,0.0,-1.4711068974366823e-23,-1.919738788589301e-23,1.5604434999986552
0.0,-10.0,0.0,0.0,2.059582674647271e-18,2.2403568616183792e-18,1.4889288999984274
0.0,-10.0,1.0,0.0,-9.496015680006814e-25,-1.2287501929443836e-24,1.4715159000043059
0.0,-10.0,2.0,0.0,1.6247311100739822e-17,1.6262754594154584e-17,1.387927399991895
0.0,-10.0,3.0,0.0,-2.0717400050461457e-18,-1.903735051626767e-18,1.3696462999942014
0.5,-10.0,-3.0,-0.0010739724881558832,0.04200822146188908,-4.1247039892635534e-05,2.8185253999981796
0.5,-10.0,-2.0,-0.0010666836171858707,0.04188686136997952,-2.5148045981009822e-05,2.9425106000126107
0.5,-10.0,-1.0,-0.0010635418353389658,0.04183290077971247,-8.737629855476048e-06,2.8264093000034336
0.5,-10.0,0.0,-0.0010640715465136674,0.04184495200064135,7.4044418538117785e-06,2.5201237999863224
0.5,-10.0,1.0,nan,nan,nan,15.004043299995828
0.5,-10.0,2.0,-0.0010766513860152038,0.04206914779727814,3.987623531382059e-05,2.768516100011766
0.5,-10.0,3.0,-0.0010888192516694817,0.04228632858538706,5.823502162042205e-05,4.042251699996996
1.0,-10.0,-3.0,-0.004225739807261042,0.08323643947386591,-0.0001366225149652577,1.696509800007334
1.0,-10.0,-2.0,-0.004207231992180649,0.08308656751719715,-7.224504762889685e-05,1.5511808000010205
1.0,-10.0,-1.0,-0.004204371567219534,0.0830698203045166,-5.722590724443051e-06,1.5949097999982769
1.0,-10.0,0.0,-0.004215768668657027,0.0831837152245785,6.060906492172383e-05,1.6419138000055682
1.0,-10.0,1.0,-0.004242983410598367,0.08342522324622184,0.00012276457852981065,3.0442781999881845
1.0,-10.0,2.0,-0.0042834980062287364,0.08381379425447791,0.00019694557155205462,1.6191268999973545
1.0,-10.0,3.0,-0.00434132454534808,0.08434056039671617,0.0002692030590074752,1.752578400002676
2.0,-10.0,-3.0,nan,nan,nan,15.00499879999552
2.0,-10.0,-2.0,-0.016048209732250296,0.16172380247238785,-5.3601264412094315e-05,1.6265710999869043
2.0,-10.0,-1.0,-0.016103871016244886,0.16201958925800408,0.00020674788323527102,1.5560273000010056
2.0,-10.0,0.0,-0.016216319571307536,0.16256570302057294,0.000465722722369201,1.97477240000444
2.0,-10.0,1.0,-0.016387341687853274,0.1633815502770246,0.0007366689422585289,1.5888182000053348
2.0,-10.0,2.0,-0.01662063329817176,0.16447577043312056,0.0010178090848816709,1.6719894999987446
2.0,-10.0,3.0,-0.016924598610191577,0.1658746622819472,0.0013213645558522017,1.6051880000013625
3.0,-10.0,-3.0,-0.033646857105986805,0.23293578486284403,-0.00021779637671586854,1.5498770999984117
3.0,-10.0,-2.0,-0.03377701993461224,0.23341980103478982,0.00034509241343807416,14.352986099998816
3.0,-10.0,-1.0,nan,nan,nan,15.011844100008602
3.0,-10.0,0.0,-0.03439261944937044,0.2354784210554834,0.0014950484922472852,1.6704213000048185
3.0,-10.0,1.0,-0.034897397063026525,0.23710055295861632,0.0021117614222356798,1.6348541000043042
3.0,-10.0,2.0,-0.035549996730932065,0.23915554281504547,0.002768572107763866,1.7196318999922369
3.0,-10.0,3.0,-0.03636280200384856,0.24167961343687572,0.0034699785223733922,1.4927451999974437
4.0,-10.0,-3.0,-0.055059412664500984,0.29612105503663155,0.0003534490519322028,13.273518600006355
4.0,-10.0,-2.0,nan,nan,nan,15.005291800000123
4.0,-10.0,-1.0,-0.05605332991171963,0.2987250293464039,0.0023028826035012577,1.505637599999318
4.0,-10.0,0.0,-0.056868515501169226,0.30076384412828905,0.0033455933877975397,1.550318800000241
4.0,-10.0,1.0,-0.05792205028694908,0.30333560726779174,0.004447668784436165,1.507970499995281
4.0,-10.0,2.0,-0.05924628426638079,0.30650719163195184,0.005641607368954375,1.5426548999967054
4.0,-10.0,3.0,-0.060886414342884,0.31035436320271936,0.006957587953155172,1.4810732000041753
5.0,-10.0,-3.0,-0.07864315829418067,0.3514412194844323,0.0015044887585366161,6.919553600004292
5.0,-10.0,-2.0,-0.07944945267844039,0.3531852529358582,0.002969302651860713,1.4685345999896526
