Ay,Ax,B,ux,uy,phi,t
0.0,-10.0,-3.0,0.0,0.0,0.0,0.03145720000611618
0.0,-10.0,-2.0,0.0,0.0,0.0,0.0039490000053774565
0.0,-10.0,-1.0,0.0,0.0,0.0,0.003409299999475479
0.0,-10.0,0.0,0.0,0.0,0.0,0.004954400006681681
0.0,-10.0,1.0,0.0,0.0,0.0,0.003688699987833388
0.0,-10.0,2.0,0.0,0.0,0.0,0.003763600005186163
0.0,-10.0,3.0,0.0,0.0,0.0,0.0034196000051451847
0.5,-10.0,-3.0,-0.0010641995294905504,0.04183110860318918,0.0,0.0030644999933429062
0.5,-10.0,-2.0,-0.0010641995294905504,0.04183110860318918,0.0,0.003942399998777546
0.5,-10.0,-1.0,-0.0010641995294905504,0.04183110860318918,0.0,0.003116399995633401
0.5,-10.0,0.0,-0.0010641995294905504,0.04183110860318918,0.0,0.003158799998345785
0.5,-10.0,1.0,-0.0010641995294905504,0.04183110860318918,0.0,0.0031490999972447753
0.5,-10.0,2.0,-0.0010641995294905504,0.04183110860318918,0.0,0.003077099987422116
0.5,-10.0,3.0,-0.0010641995294905504,0.04183110860318918,0.0,0.004290700002457015
1.0,-10.0,-3.0,-0.004204968340795645,0.08307443973979682,0.0,0.003381599992280826
1.0,-10.0,-2.0,-0.004204968340795645,0.08307443973979682,0.0,0.0033645000075921416
1.0,-10.0,-1.0,-0.004204968340795645,0.08307443973979682,0.0,0.00333360000513494
1.0,-10.0,0.0,-0.004204968340795645,0.08307443973979682,0.0,0.004122700003790669
1.0,-10.0,1.0,-0.004204968340795645,0.08307443973979682,0.0,0.0037786000029882416
1.0,-10.0,2.0,-0.004204968340795645,0.08307443973979682,0.0,0.00335879999329336
1.0,-10.0,3.0,-0.004204968340795645,0.08307443973979682,0.0,0.003363099996931851
2.0,-10.0,-3.0,-0.016055739270568692,0.16176393258198649,0.0,0.004101500002434477
2.0,-10.0,-2.0,-0.016055739270568692,0.16176393258198649,0.0,0.004667199988034554
2.0,-10.0,-1.0,-0.016055739270568692,0.16176393258198649,0.0,0.003716500010341406
2.0,-10.0,0.0,-0.016055739270568692,0.16176393258198649,0.0,0.0035204000014346093
2.0,-10.0,1.0,-0.016055739270568692,0.16176393258198649,0.0,0.003515999997034669
2.0,-10.0,2.0,-0.016055739270568692,0.16176393258198649,0.0,0.0047196000086842105
2.0,-10.0,3.0,-0.016055739270568692,0.16176393258198649,0.0,0.004062100008013658
3.0,-10.0,-3.0,-0.03368463960580681,0.23308056649523176,0.0,0.003987599993706681
3.0,-10.0,-2.0,-0.03368463960580681,0.23308056649523176,0.0,0.0045381000090856105
3.0,-10.0,-1.0,-0.03368463960580681,0.23308056649523176,0.0,0.004962600010912865
3.0,-10.0,0.0,-0.03368463960580681,0.23308056649523176,0.0,0.003686500000185333
3.0,-10.0,1.0,-0.03368463960580681,0.23308056649523176,0.0,0.00341659999685362
3.0,-10.0,2.0,-0.03368463960580681,0.23308056649523176,0.0,0.003377800007001497
3.0,-10.0,3.0,-0.03368463960580681,0.23308056649523176,0.0,0.005504600005224347
4.0,-10.0,-3.0,-0.05496224493050483,0.29583562168910826,0.0,0.004586700000800192
4.0,-10.0,-2.0,-0.05496224493050483,0.29583562168910826,0.0,0.004109899993636645
4.0,-10.0,-1.0,-0.05496224493050483,0.29583562168910826,0.0,0.004250499987392686
4.0,-10.0,0.0,-0.05496224493050483,0.29583562168910826,0.0,0.0058637999900383875
4.0,-10.0,1.0,-0.05496224493050483,0.29583562168910826,0.0,0.004271900004823692
4.0,-10.0,2.0,-0.05496224493050483,0.29583562168910826,0.0,0.004683500010287389
4.0,-10.0,3.0,-0.05496224493050483,0.29583562168910826,0.0,0.004732499990495853
5.0,-10.0,-3.0,-0.07809666539106752,0.3501788386128906,0.0,0.004562899994198233
5.0,-10.0,-2.0,-0.07809666539106752,0.3501788386128906,0.0,0.004263599999831058
5.0,-10.0,-1.0,-0.07809666539106752,0.3501788386128906,0.0,0.004856200001086108
5.0,-10.0,0.0,-0.07809666539106752,0.3501788386128906,0.0,0.004738300005556084
5.0,-10.0,1.0,-0.07809666539106752,0.3501788386128906,0.0,0.0042714000010164455
5.0,-10.0,2.0,-0.07809666539106752,0.3501788386128906,0.0,0.004348400005255826
5.0,-10.0,3.0,-0.07809666539106752,0.3501788386128906,0.0,0.007375699991825968
6.0,-10.0,-3.0,-0.10181755673543313,0.3969449089723247,0.0,0.006033799989381805
6.0,-10.0,-2.0,-0.10181755673543313,0.3969449089723247,0.0,0.005291899986332282
6.0,-10.0,-1.0,-0.10181755673543313,0.3969449089723247,0.0,0.0058048999926541
6.0,-10.0,0.0,-0.10181755673543313,0.3969449089723247,0.0,0.0048430000024382025
6.0,-10.0,1.0,-0.10181755673543313,0.3969449089723247,0.0,0.006860599998617545
6.0,-10.0,2.0,-0.10181755673543313,0.3969449089723247,0.0,0.005380000002332963
6.0,-10.0,3.0,-0.10181755673543313,0.3969449089723247,0.0,0.007271600014064461
7.0,-10.0,-3.0,-0.12531730116108564,0.43718632369099036,0.0,0.012630800003535114
7.0,-10.0,-2.0,-0.12531730116108564,0.43718632369099036,0.0,0.004651499999454245
7.0,-10.0,-1.0,-0.12531730116108564,0.43718632369099036,0.0,0.007552600000053644
7.0,-10.0,0.0,-0.12531730116108564,0.43718632369099036,0.0,0.004482700009248219
7.0,-10.0,1.0,-0.12531730116108564,0.43718632369099036,0.0,0.0041080999944824725
7.0,-10.0,2.0,-0.12531730116108564,0.43718632369099036,0.0,0.003895399990142323
7.0,-10.0,3.0,-0.12531730116108564,0.43718632369099036,0.0,0.006215800007339567
8.0,-10.0,-3.0,-0.1481237460358913,0.47193083758036936,0.0,0.004065900007844903
8.0,-10.0,-2.0,-0.1481237460358913,0.47193083758036936,0.0,0.0038483999960590154
8.0,-10.0,-1.0,-0.1481237460358913,0.47193083758036936,0.0,0.005266899999696761
8.0,-10.0,0.0,-0.1481237460358913,0.47193083758036936,0.0,0.003829799999948591
8.0,-10.0,1.0,-0.1481237460358913,0.47193083758036936,0.0,0.0036797999928239733
8.0,-10.0,2.0,-0.1481237460358913,0.47193083758036936,0.0,0.003664000003482215
