Ay,Ax,B,ux,uy,phi,t
0.0,-10.0,-3.0,0.0,0.0,0.0,1.1099997209385037e-05
0.0,-10.0,-2.0,0.0,0.0,0.0,4.49999060947448e-06
0.0,-10.0,-1.0,0.0,0.0,0.0,6.50000583846122e-06
0.0,-10.0,0.0,0.0,0.0,0.0,2.1000014385208488e-06
0.0,-10.0,1.0,0.0,0.0,0.0,1.4999968698248267e-06
0.0,-10.0,2.0,0.0,0.0,0.0,1.400010660290718e-06
0.0,-10.0,3.0,0.0,0.0,0.0,1.1999945854768157e-06
0.5,-10.0,-3.0,-0.00016841334495799114,0.01693655598835328,0.0,0.00022230000467970967
0.5,-10.0,-2.0,-0.00016841334495799114,0.01693655598835328,0.0,9.940000018104911e-05
0.5,-10.0,-1.0,-0.00016841334495799114,0.01693655598835328,0.0,7.739999273326248e-05
0.5,-10.0,0.0,-0.00016841334495799114,0.01693655598835328,0.0,7.249999907799065e-05
0.5,-10.0,1.0,-0.00016841334495799114,0.01693655598835328,0.0,7.410001126118004e-05
0.5,-10.0,2.0,-0.00016841334495799114,0.01693655598835328,0.0,7.100000220816582e-05
0.5,-10.0,3.0,-0.00016841334495799114,0.01693655598835328,0.0,6.86999992467463e-05
1.0,-10.0,-3.0,-0.0006727891652913042,0.03384636492884049,0.0,6.970000686123967e-05
1.0,-10.0,-2.0,-0.0006727891652913042,0.03384636492884049,0.0,6.989999383222312e-05
1.0,-10.0,-1.0,-0.0006727891652913042,0.03384636492884049,0.0,7.46000005165115e-05
1.0,-10.0,0.0,-0.0006727891652913042,0.03384636492884049,0.0,6.890000076964498e-05
1.0,-10.0,1.0,-0.0006727891652913042,0.03384636492884049,0.0,7.059999916236848e-05
1.0,-10.0,2.0,-0.0006727891652913042,0.03384636492884049,0.0,6.930000381544232e-05
1.0,-10.0,3.0,-0.0006727891652913042,0.03384636492884049,0.0,7.20999960321933e-05
2.0,-10.0,-3.0,-0.0026774419031537788,0.06748026261572597,0.0,7.059999916236848e-05
2.0,-10.0,-2.0,-0.0026774419031537788,0.06748026261572597,0.0,9.120001050177962e-05
2.0,-10.0,-1.0,-0.0026774419031537788,0.06748026261572597,0.0,6.999999459367245e-05
2.0,-10.0,0.0,-0.0026774419031537788,0.06748026261572597,0.0,6.920000305399299e-05
2.0,-10.0,1.0,-0.0026774419031537788,0.06748026261572597,0.0,6.86999992467463e-05
2.0,-10.0,2.0,-0.0026774419031537788,0.06748026261572597,0.0,6.839999696239829e-05
2.0,-10.0,3.0,-0.0026774419031537788,0.06748026261572597,0.0,6.890000076964498e-05
3.0,-10.0,-3.0,-0.005973696226427367,0.10069711567612417,0.0,7.750000804662704e-05
3.0,-10.0,-2.0,-0.005973696226427367,0.10069711567612417,0.0,7.149999146349728e-05
3.0,-10.0,-1.0,-0.005973696226427367,0.10069711567612417,0.0,6.820000999141484e-05
3.0,-10.0,0.0,-0.005973696226427367,0.10069711567612417,0.0,6.78000069456175e-05
