fy,fx,m,x,y,phi,t
0,-10,-3,-0.0429836,0.120573,0.0005521832113735389,37.35422897338867
0,-10,-2,-0.0429653,0.0802245,0.000368114883334939,36.71698188781738
0,-10,-1,-0.0429572,0.0400401,0.0001840581026850023,41.99638319015503
0,-10,0,-0.0429589,-6.45697e-05,5.806473341763282e-09,34.14135932922363
0,-10,1,-0.0429572,0.0400401,0.0001840581026850023,35.29677176475525
0,-10,2,-0.0429653,0.0802245,0.000368114883334939,36.58373212814331
0,-10,3,-0.0429836,0.120573,0.0005521832113735389,37.38219380378723
0.5,-10,-3,-0.287417,9.99608,0.0006920350496726771,84.61539244651794
0.5,-10,-2,-0.283111,9.90777,0.0004917052164461293,40.829771757125854
0.5,-10,-1,-0.279675,9.83527,0.00029209795312303965,39.95777249336243
0.5,-10,0,-0.277061,9.778,9.298745645762846e-05,40.23288369178772
0.5,-10,1,-0.279675,9.83527,0.00029209795312303965,48.583258867263794
0.5,-10,2,-0.283111,9.90777,0.0004917052164461293,48.415258169174194
0.5,-10,3,-0.287417,9.99608,0.0006920350496726771,40.81412601470947
1,-10,-3,-1.00561,19.8075,0.0009637014498015182,48.62475943565369
1,-10,-2,-0.990234,19.6532,0.0007145708474074608,43.286526679992676
1,-10,-1,-0.978279,19.5303,0.0004683698229053826,42.95860815048218
1,-10,0,-0.969547,19.4378,0.0002241881054807015,41.44559335708618
1,-10,1,-0.978279,19.5303,0.0004683698229053826,41.983299016952515
1,-10,2,-0.990234,19.6532,0.0007145708474074608,54.60780382156372
1,-10,3,-1.00561,19.8075,0.0009637014498015182,52.753034830093384
2,-10,-3,-3.77482,38.8573,0.0020511703237262504,58.69466423988342
2,-10,-2,-3.70677,38.5184,0.001601040186435487,58.52925205230713
2,-10,-1,-3.65278,38.2443,0.001165876456925096,56.66216444969177
2,-10,0,-3.61179,38.0313,0.0007415520785366454,61.0331916809082
2,-10,1,-3.65278,38.2443,0.001165876456925096,58.27096891403198
2,-10,2,-3.70677,38.5184,0.001601040186435487,58.02205944061279
2,-10,3,-3.77482,38.8573,0.0020511703237262504,62.51581001281738
3,-10,-3,-8.04475,56.601,0.004058375288876495,64.73066639900208
3,-10,-2,-7.87038,56.0185,0.0032606483312517215,61.19334578514099
3,-10,-1,-7.72805,55.5338,0.002505170595775261,61.29506301879883
3,-10,0,-7.6157,55.143,0.001781685879372305,49.20733070373535
3,-10,1,-7.72805,55.5338,0.002505170595775261,52.415952920913696
3,-10,2,-7.87038,56.0185,0.0032606483312517215,57.071582555770874
3,-10,3,-8.04475,56.601,0.004058375288876495,51.25803995132446
4,-10,-3,-13.4114,72.6812,0.007137860398564041,80.43588590621948
4,-10,-2,-13.0853,71.857,0.005845064555879984,85.51536536216736
4,-10,-1,-12.8291,71.1969,0.0046470633224878054,51.05433487892151
4,-10,0,-12.6092,70.6178,0.0035064485531961943,46.06166076660156
4,-10,1,-12.8291,71.1969,0.0046470633224878054,46.56178307533264
4,-10,2,-13.0853,71.857,0.005845064555879984,82.9074718952179
4,-10,3,-13.4114,72.6812,0.007137860398564041,81.39161014556885
5,-10,-3,-19.5868,87.2093,0.011447985548492584,85.11997628211975
5,-10,-2,-19.0354,86.0845,0.009473635070136082,80.54615473747253
5,-10,-1,-18.5807,85.1363,0.007668763176922239,85.62672472000122
5,-10,0,-18.2097,84.345,0.005992151552106313,100.59752178192139
5,-10,1,-18.5807,85.1363,0.007668763176922239,113.38337850570679
5,-10,2,-19.0354,86.0845,0.009473635070136082,127.06147694587708
5,-10,3,-19.5868,87.2093,0.011447985548492584,129.57132744789124
6,-10,-3,-26.2542,100.153,0.017040132491172116,119.93840050697327
6,-10,-2,-25.42,98.7241,0.01418757202745955,116.16298747062683
6,-10,-1,-24.7321,97.5163,0.011627277949609877,112.04795837402344
6,-10,0,-24.1684,96.5024,0.009287856354632704,97.80448007583618
6,-10,1,-24.7321,97.5163,0.011627277949609877,80.76580119132996
6,-10,2,-25.42,98.7241,0.01418757202745955,78.55106711387634
6,-10,3,-26.2542,100.153,0.017040132491172116,78.09178709983826
7,-10,-3,-32.9785,111.32,0.02357550469000847,47.722758293151855
